SHANGHAI SHENZHEN CSI 300 - MARKET VALUE,SHANGHAI SHENZHEN CSI 300 - PRICE HIGH,SHANGHAI SHENZHEN CSI 300 - PRICE LOW,SHANGHAI SHENZHEN CSI 300 - OPENING PRICE,SHANGHAI SHENZHEN CSI 300 - PRICE INDEX,SHANGHAI SHENZHEN CSI 300 - TURNOVER BY VALUE,SHANGHAI SHENZHEN CSI 300 - TURNOVER BY VOLUME
CHSS300(MV),CHSS300(PH),CHSS300(PL),CHSS300(PO),CHSS300(PI),CHSS300(VA),CHSS300(VO)
2225645,992.27,978.28,985.23,991.22,12714860,26455600
2231398,994.5,987.06,991.57,993.34,12929890,26147060
2228737,997.33,989.34,993.74,996.16,11459290,22546020
2230301,1006.15,993.39,997.79,999.09,13914240,24197980
2249058,1009.65,989.51,998.83,1009.6,11644200,21800750
2249058,,,,1009.6,,
2249058,,,,1009.6,,
2249058,,,,1009.6,,
2249058,,,,1009.6,,
2249058,,,,1009.6,,
2249058,,,,1009.6,,
2249058,,,,1009.6,,
2301904,1033.35,1012.81,1013.42,1033.23,13466980,25038770
2290076,1038.5,1019.94,1034.68,1029.94,17669250,32954780
2301902,1033.4,1022.94,1028.44,1033.07,13692520,26986720
2266845,1033.19,1017.05,1033.19,1019.6,12115070,23839600
2290173,1032.6,1018.48,1019.42,1032.34,11411750,22024450
2284592,1034.64,1021.84,1034.38,1031.61,11454700,22157300
2293431,1038.81,1030.46,1032.64,1038.53,9730559,18556210
2319137,1048.34,1038.74,1040.33,1041.66,12747810,24784620
2271469,1041.66,1019.21,1041.66,1020.12,13407180,26159890
2271112,1028.57,1015.99,1020.06,1020.37,10774130,21026860
2277539,1030.05,1020.01,1020.74,1021.64,10303300,18818880
2314634,1038.94,1014.66,1020.98,1038.82,13180220,23678030
2307825,1046.45,1036.38,1039.65,1037.88,13435060,25380700
2316487,1041.59,1029.25,1038.25,1041.37,10259760,19785020
2329903,1049.69,1041.97,1041.97,1049.44,10286380,19676100
2324322,1057.22,1045.97,1055.95,1047.84,12520440,22872100
2326645,1053.72,1033.66,1046.71,1053.01,10427830,19353260
2335450,1057.69,1049.64,1051.76,1056.62,10518420,19425730
2293556,1056.05,1034.68,1055.86,1038.67,13748690,24877860
2306217,1043.42,1029.56,1037.99,1041.68,11437140,21200530
2297654,1044.42,1036.11,1041.66,1038.87,9091203,17870960
2243237,1037.98,1013.14,1037.93,1014.97,9676508,19336510
2221952,1014.96,999.93,1012.58,1009.27,8818082,17463040
2212039,1010.91,1002.2,1006.96,1004.34,6640051,12735100
2213227,1011.76,1004.69,1004.75,1008.9,6337829,11887980
2256567,1020.88,1008.51,1008.8,1019.86,6101943,11765910
2252332,1021.65,1012.11,1020.47,1018.27,5861599,11348030
2281535,1028.96,1017.08,1018.15,1028.96,7822300,14842070
2277816,1029.8,1025.52,1028.96,1027.62,7936360,14784340
2262662,1029.56,1021.08,1027.64,1024.01,7945174,15001920
2294759,1037.91,1019.65,1024.5,1037.66,8246315,15389910
2299099,1047.05,1036.23,1037.95,1040.76,10271580,19077650
2306516,1047.94,1036.71,1041.14,1047.67,10034540,18640560
2312309,1049.32,1042.82,1047.35,1048.54,10825050,20467870
2302235,1051.76,1041.23,1049.12,1042.6,11031900,20098220
2304892,1050.71,1037.08,1042.63,1050.71,9201788,17134060
2306991,1056.52,1048.64,1050.07,1055.98,10630510,22273980
2319918,1074.04,1057.68,1058.74,1065.29,15882110,30526340
