Name,MARKET VALUE,PRICE HIGH,PRICE LOW,PRICE OPEN,PRICE INDEX,TURNOVER BY VALUE,VOLUME
1/16/2012,14152580,2394.5,2345.63,2376.95,2345.65,34410380,30527140
1/17/2012,14730960,2462.43,2329.25,2347.57,2460.6,64324130,64205650
1/18/2012,14522070,2485.5,2414.53,2464.92,2422.19,67058830,63892350
1/19/2012,14739310,2480.21,2414.98,2423.86,2468.35,56377650,55615710
1/20/2012,14895090,2510.34,2462.59,2476.73,2504.09,57474460,54529780
1/23/2012,14895090,,,,2504.09,,
1/24/2012,14895090,,,,2504.09,,
1/25/2012,14895090,,,,2504.09,,
1/26/2012,14895090,,,,2504.09,,
1/27/2012,14895090,,,,2504.09,,
1/30/2012,14651710,2508.88,2460.4,2508.88,2460.72,44770880,43517140
1/31/2012,14696270,2472.84,2447.77,2462.34,2464.26,32694130,30701490
2/1/2012,14530420,2481.66,2423.45,2458.23,2428.99,37752320,35015360
2/2/2012,14820620,2486.24,2429.71,2437.47,2486.24,44126370,42066980
2/3/2012,14915370,2514.64,2470.28,2478.34,2506.09,51507540,49949230
2/6/2012,14900770,2520.76,2488.71,2511.17,2504.32,47541520,45079900
2/7/2012,14645450,2489.03,2441.7,2489.03,2457.95,40034270,39679150
2/8/2012,15014200,2534.16,2451,2456.42,2528.24,61721300,56186450
2/9/2012,15012390,2546.02,2513.13,2525.59,2529.23,63456190,59299740
2/10/2012,15018110,2560.03,2521.15,2521.68,2533.62,60029470,61575870
2/13/2012,14997560,2553.45,2496.3,2504.41,2531.98,54282610,51913970
2/14/2012,14948150,2533.26,2506.54,2528.97,2522.11,43723680,40430100
2/15/2012,15074880,2562.07,2511.29,2515.83,2549.61,60422380,58090370
2/16/2012,14994780,2559.34,2519.04,2544.64,2536.07,55165630,54395420
2/17/2012,15002620,2558.34,2522.86,2551.81,2537.09,40458000,38994700
2/20/2012,15041240,2574.75,2539.9,2571.91,2540.71,56748910,56153330
2/21/2012,15151520,2562.91,2520.79,2544.83,2562.45,47758220,47894800
2/22/2012,15292750,2598.86,2560.34,2564.31,2597.48,76421790,76376660
2/23/2012,15338520,2614.54,2590.52,2595.78,2606.26,72612080,70377120
2/24/2012,15542030,2648.02,2602.78,2607.34,2648.02,88058610,85999700
2/27/2012,15595760,2693.84,2656.57,2658.12,2656.57,106670200,101514000
2/28/2012,15640700,2671.83,2641.46,2652.34,2662.46,77213040,77592530
2/29/2012,15493900,2666.65,2631.78,2655.86,2634.14,64875220,59120190
3/1/2012,15462510,2647.78,2621.86,2622.74,2633.34,46524060,42148430
3/2/2012,15687390,2679.93,2637.96,2637.96,2679.93,66981580,64122030
3/5/2012,15567400,2694.61,2660.95,2687.74,2662.7,74973250,71395460
3/6/2012,15345500,2657.96,2615.6,2654.8,2621.05,68852540,62447140
3/7/2012,15247210,2628.58,2594.13,2596.48,2603,63243280,56948720
3/8/2012,15400960,2645.95,2612.4,2612.4,2635.79,64458850,57549410
3/9/2012,15526290,2664.41,2631.41,2644.1,2664.3,65963440,55258910
3/12/2012,15469780,2666.43,2636.42,2663.24,2654.4,74367700,62327220
3/13/2012,15607020,2681.33,2649.17,2653.68,2681.07,66429760,58404460
3/14/2012,15236500,2705.75,2595.34,2694.47,2605.11,117080400,108426500
3/15/2012,15151830,2618.25,2575.44,2602.66,2585.55,77042750,72565950
3/16/2012,15329590,2624.32,2577.24,2591.8,2623.52,67451810,58091250
3/19/2012,15349530,2631.04,2598.63,2617.66,2630.01,68803940,57646620
3/20/2012,15142330,2622.66,2584.02,2622.66,2584.44,64263810,58114060
3/21/2012,15150010,2613.27,2569.07,2597.38,2587.79,66674910,58002540
3/22/2012,15136650,2599.24,2570.45,2586.94,2583.75,50115500,44926770
3/23/2012,14986980,2578.82,2544.52,2575.33,2552.94,47812430,43329250
3/26/2012,15005810,2562.93,2540.7,2551.42,2555.44,36356130,31816210
3/27/2012,14968350,2571.9,2544.37,2565.55,2547.14,47394450,35944590
3/28/2012,14611700,2540.42,2471.03,2538.46,2474.9,54993630,50005780
3/29/2012,14432550,2476.48,2429.73,2463.69,2443.12,48651580,46131300
3/30/2012,14511860,2461.98,2438.49,2447.94,2454.9,39139730,37027070
4/2/2012,14511860,,,,2454.9,,
4/3/2012,14511860,,,,2454.9,,
4/4/2012,14511860,,,,2454.9,,
4/5/2012,14761580,2517.39,2441.27,2449.21,2512.83,58049680,54331680
4/6/2012,14776280,2525.53,2502.7,2509.44,2519.83,47207790,42368580
4/9/2012,14649670,2518.38,2491.59,2510.53,2495.15,38180740,35370980
4/10/2012,14770430,2519.81,2459.35,2490.28,2519.79,44064830,41335900
4/11/2012,14779070,2541.13,2489.32,2494.52,2520.04,43627970,42510300
4/12/2012,15047510,2570.84,2516.57,2522.83,2570.44,59536940,56488400
4/13/2012,15085250,2593.79,2570.03,2575.05,2580.45,61892980,53092640
4/16/2012,15048410,2586.2,2559.78,2564.23,2574.04,42650750,40839700
4/17/2012,14916350,2578.76,2541.53,2572.36,2541.88,38328420,37815460
4/18/2012,15203800,2602.11,2546,2550.9,2599.91,59360990,58688400
4/19/2012,15173330,2606.86,2585.3,2598.33,2596.06,55512930,46448100
4/20/2012,15353350,2627.38,2589.35,2591.51,2626.84,63829900,61446370
4/23/2012,15236750,2632.09,2599.11,2624.75,2606.04,62073940,58664930
4/24/2012,15251380,2640.29,2559.46,2594.8,2604.87,73150510,71139550
4/25/2012,15343890,2631.44,2593.33,2598.23,2625.99,63529460,62468050
4/26/2012,15354400,2643.77,2617.09,2632.72,2631.49,64377470,58965660
4/27/2012,15325810,2637.92,2623.6,2630.55,2626.16,53345500,48233580
4/30/2012,15325810,,,,2626.16,,
5/1/2012,15325810,,,,2626.16,,
